loan_id,customer_id,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,issue_date,issue_year,pymnt_plan,type,purpose,description,notes,emp_title,emp_length,home_ownership,annual_inc,annual_inc_joint,verification_status,zip_code,addr_state,avg_cur_bal,Tot_cur_bal
4611,kbef93De11198ddabebdbce84138fA2bdf9f0S6d03X1dy8fa4,In Grace Period,2000.0,IL,2000.0, 36 months,0.1299,67.379997,B,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,charge back analyst,10+ years,RENT,46000.0,,Not Verified,600xx,IL,911.0,13665.0
7532,18B6f9Zcdf418abe2f4b1d300d8b7bbfdNc2af81481a0,Late (31-120 days),2500.0,WI,2500.0, 36 months,0.1365,85.019997,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,perfect binder gatherer operator,10+ years,MORTGAGE,55000.0,,Not Verified,530xx,WI,18588.0,334582.0
12332,7f8cdad58e078ea0d50f13a5d01be7f6616s8e1fb0b52Dw8afdm,Current,3000.0,PA,3000.0, 60 months,0.2557,89.059998,F,04-2014,2014.0,False,INDIVIDUAL,moving,Moving and relocation,desc,Clerk ,6 years,RENT,24000.0,,Verified,152xx,PA,445.0,1334.0
16075,ba8a9cc8ddeac7XT9ba9Gfcifafd1ab8a8Hoaea95ccb0uceafde,Current,3650.0,CA,3650.0, 36 months,0.1892,133.64999,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,,n/a,RENT,12480.0,,Source Verified,936xx,CA,979.0,3918.0
19561,17J14eb05cefdcd0fNh13as950bsb0eaa415101db19bbcb,Current,4000.0,FL,4000.0, 36 months,0.1561,139.86,C,04-2014,2014.0,False,INDIVIDUAL,major_purchase,Major purchase,desc,supervisor,10+ years,MORTGAGE,52000.0,,Source Verified,330xx,FL,2974.0,86247.0
20445,b5b5b6c2e8cda8N9vcea2Ve387c4caceaWe3s14d8b008e09a99,Late (31-120 days),4125.0,TX,4125.0, 36 months,0.1659,146.23,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,LVN Clinical Supervisor ,10+ years,MORTGAGE,53260.0,,Not Verified,760xx,TX,18576.0,167185.0
24547,va492c9Y9f8cn19d0dcdd83hIe51cbdJ199f80vme780389Cbf,Current,4825.0,MI,4825.0, 36 months,0.1464,166.42,C,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,,n/a,RENT,29700.0,,Source Verified,480xx,MI,488.0,4395.0
27968,f2b78c82q1d1b91fPade49c0e9e1dmbb4ea80b98bdc196ffs7f,Current,5000.0,CA,5000.0, 36 months,0.0967,160.57001,B,04-2014,2014.0,False,INDIVIDUAL,vacation,Vacation,desc,Recruiting Specialist,2 years,RENT,60000.0,,Source Verified,946xx,CA,4804.0,67253.0
32237,9ffdb5seba6b9dk9Yb018e81H1fdjdalbbea8f0M0113c396d6,Late (16-30 days),5000.0,CA,5000.0, 36 months,0.1464,172.45,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Production Coordinator,10+ years,RENT,51000.0,,Verified,913xx,CA,1250.0,8748.0
35604,d81be8d996ffdbj0c07gc0bafafe9ep03a50e14H7fbc897d4,Current,5300.0,CA,5300.0, 36 months,0.1892,194.07001,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,General Manager,10+ years,RENT,70000.0,,Verified,900xx,CA,1727.0,46638.0
37718,Bf4c58b84df1313e4lbf2X8fe8f68dV0049b0f12ca6KAc31be603,Current,5600.0,WV,5600.0, 36 months,0.1249,187.32001,B,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Correctional Officer,4 years,MORTGAGE,30000.0,,Source Verified,258xx,WV,7483.0,29933.0
40347,Ie1f380f7m86d019Ta2a387Mic3q18IqQ90m03afe4ebec1d5,Current,6000.0,IN,6000.0, 36 months,0.0762,186.97,A,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Police Officer,9 years,MORTGAGE,55000.0,,Not Verified,479xx,IN,34510.0,241573.0
41639,977f60fc2cd855Ef1bb14DQV0d3bfN0795b70b2,Current,6000.0,GA,6000.0, 36 months,0.0967,192.67999,B,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Sr. Systems Engineer,6 years,MORTGAGE,98888.0,,Not Verified,300xx,GA,5143.0,92582.0
41646,abf2Bcf8b977fd9b2db117fHa9028b9bfeb92a998c4df8f3a3s,Current,6000.0,IL,6000.0, 36 months,0.0967,192.67999,B,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Assistant Chanel Manager,1 year,RENT,65000.0,,Verified,602xx,IL,4215.0,46369.0
43870,bfi071e98ga705bfb1b6T08e98eRGd3F1ad88781428fee,Current,6000.0,KY,6000.0, 36 months,0.1249,200.7,B,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Remote Coder,7 years,OWN,55000.0,,Source Verified,410xx,KY,10458.0,52288.0
44251,abdd0baa81c9ebDc395u041aV0582gf0Z831agKcfe19e998a5dc,Current,6000.0,AZ,6000.0, 36 months,0.1299,202.14,B,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Bus Operator,10+ years,RENT,49000.0,,Source Verified,850xx,AZ,3209.0,28881.0
44257,Mce821wc7be99108d9998095beU81612S87l5a3ac4fdP,Current,6000.0,IL,6000.0, 36 months,0.1299,202.14,B,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Medical Administrator,10+ years,MORTGAGE,65000.0,,Source Verified,605xx,IL,11653.0,186440.0
44738,e9e8e7fbbap1ba6kd2de095eca5c09b78a99dc0bFf0d007,Current,6000.0,NJ,6000.0, 36 months,0.1365,204.05,C,04-2014,2014.0,False,INDIVIDUAL,other,Other,desc,Director,8 years,MORTGAGE,90000.0,,Source Verified,077xx,NJ,17963.0,269448.0
50222,R19168695A9316e8i7707100edb951erd7e7pRyb9,Current,6500.0,IL,6500.0, 36 months,0.1561,227.28,C,04-2014,2014.0,False,INDIVIDUAL,major_purchase,Major purchase,desc,Facilities Manager,< 1 year,RENT,35000.0,,Verified,605xx,IL,4984.0,19934.0
50536,f3XWa9ff1b9889aedeab7G02bda980814bbde02o9eb6a7cec9bc,Late (31-120 days),6600.0,VT,6600.0, 36 months,0.079,206.52,A,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,,n/a,RENT,21000.0,,Verified,054xx,VT,5417.0,59582.0
51315,Cdf5Gzab9c89d0d93f7ZZke4788eae2H14ee168ec6i87b2,Current,6800.0,AL,6800.0, 36 months,0.2245,261.29001,E,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Registered Nurse,3 years,MORTGAGE,60000.0,,Verified,356xx,AL,14687.0,117494.0
54743,06d0dafcc997000eC06109813bfbdr0c99e3edf1Ac08082a7b49603,Current,7000.0,DE,7000.0, 36 months,0.1365,238.06,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Server,5 years,RENT,28000.0,,Verified,199xx,DE,2686.0,29545.0
55814,9ace6Q06Aa21fJrS96da9bafd28eE9da0za88a597,Current,7000.0,NY,7000.0, 36 months,0.2245,268.97,E,04-2014,2014.0,False,INDIVIDUAL,vacation,Vacation,desc,Assembly Technician,2 years,RENT,35000.0,,Verified,113xx,NY,545.0,3817.0
56080,7fdda8eau02ndf88abdb2j13f5abpbd9aeba8fdY0415ebof0e3,Current,7125.0,MI,7125.0, 36 months,0.1464,245.74001,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Manager of VCE,10+ years,RENT,65000.0,,Source Verified,481xx,MI,2190.0,21898.0
57700,90q6d8d0afaceah08afb996c4otb4f51at08828che1f3d,Current,7200.0,NC,7200.0, 36 months,0.1947,265.64001,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Teacher,3 years,RENT,34000.0,,Not Verified,279xx,NC,7264.0,108967.0
